model,test_mae,test_rmse,test_exact_pct,test_close_pct,test_r2
Tuned Random Forest,46.33714020916518,48.983642007059295,0.0,0.0,0.9885224557227892
Tuned Xgboost,47.70992119506836,50.515594936963666,0.0,0.0,0.9877933139099313
Tuned Gradient Boosting,46.511259320730254,48.978188059447035,0.0,0.0,0.9885250114510995
Voting Ensemble,46.759610748246416,49.34442319327273,0.0,0.0,0.9883527610503937
Stacking Ensemble,45.900112786087156,48.58835650081363,0.0,0.0,0.988706950010015
Weighted Average Ensemble,46.81217976232382,49.38478715100134,0.0,0.0,0.9883336982702922
