model,mae,rmse,exact_pct,close_pct
gb_tuned,68.3878027891228,104.62816311086031,0.0,1.2
rf,70.99908160000022,107.15357563845022,0.0,1.6
simple_average_ensemble,65.81128359589457,101.6713792253449,0.0,1.2
