model,train_mae,test_mae,test_exact_pct,test_close_pct,test_r2
Decision Tree,9.658037388338764,46.97117850092958,0.0,0.0,0.9874585198167485
Random Forest,2.3925251852365768,46.239444392255656,0.0,0.4,0.9885227498871001
Gradient Boosting,0.3392796536718051,46.39705278008488,0.0,0.4,0.9885471307229813
XGBoost,1.7087823685709616,41.00963145996094,0.0,0.4,0.9900198459940938
Neural Network,505.0398767060195,581.4949557855998,0.0,0.0,-1.6487550112426104
