model,test_mae,test_rmse,test_exact_pct,test_close_pct,test_r2
Tuned Random Forest,46.358147721409075,49.01786507630518,0.0,0.0,0.9885064122440764
Tuned Xgboost,47.71397133422851,50.61178726452999,0.0,0.0,0.9877467814480098
Tuned Gradient Boosting,46.51530314029008,48.99044460015437,0.0,0.0,0.9885192676182826
Voting Ensemble,46.7977847191992,49.40874008709936,0.0,0.0,0.988322378592132
Stacking Ensemble,45.933688285503514,48.67691188240622,0.0,0.0,0.9886657478883458
Weighted Average Ensemble,46.82642527959848,49.43203222859812,0.0,0.0,0.9883113659283101
