model,test_mae,test_rmse,test_exact_pct,test_close_pct,test_r2
Tuned Random Forest,67.15990935743484,102.69894303122801,0.0,1.6,0.9495479543799759
Tuned Xgboost,71.83032286376954,109.03659925763066,0.0,0.0,0.9431289262991448
Tuned Gradient Boosting,72.91828600239498,107.44719665427407,0.0,0.4,0.9447748365361455
Voting Ensemble,67.63364127331062,102.46549742314629,0.0,0.0,0.9497770594129303
Stacking Ensemble,66.7208644277951,101.54486701848923,0.0,2.0,0.9506754896862502
Weighted Average Ensemble,67.77184947035714,103.17004798267673,0.0,1.6,0.9490840211968931
