model,train_mae,test_mae,test_exact_pct,test_close_pct
Simple Average,389.6698870044444,391.5755028266667,0.0,0.0
Linear Regression,180.03296306524217,161.32981930981498,0.0,0.4
Business Rules,937.7232579333333,1017.846585,0.0,0.0
Ridge Regression,87.07150559258355,77.81390543030719,0.0,0.4
Lasso Regression,87.3046220383125,78.35959397814696,0.0,1.6
