feature,importance
weighted_estimate_v1,0.7216881800341504
weighted_estimate_v2,0.08117757310528564
est_total_simple,0.07762874538464239
miles_x_duration,0.04980848093842111
receipts_x_duration,0.016776654235926145
miles_x_receipts,0.011777644031016051
receipts_per_day,0.011163767284862618
receipts_per_mile,0.0032073343299631367
receipts_to_miles_ratio,0.0029941801633032433
miles_per_day,0.0021961179965815023
miles_to_days_ratio,0.0018782961353933177
receipts_log,0.0016478437798802391
receipts_sqrt,0.0016127317934007655
est_mileage_reimb,0.0014720190924080382
receipts_squared,0.0014160026136993621
receipts_zscore,0.0013932361283068772
total_receipts_amount,0.0013347416892636051
miles_log,0.0012378223061032601
miles_zscore,0.001204691346400149
medium_trip,0.0011679370498758966
miles_sqrt,0.0010305120192274169
miles_squared,0.0009273438175503449
miles_traveled,0.0008559826111248295
duration_zscore,0.0007629717790402314
duration_sqrt,0.0007061273275119184
est_per_diem,0.0006695741444159039
duration_log,0.0006368683492515623
trip_duration_days,0.0006326859465165906
duration_squared,0.0005727277531897863
regional_trip,0.00016951774093470768
over_receipt_cap,5.9571512354952304e-05
very_high_receipts,4.950772841297767e-05
high_receipts,2.9663235523294146e-05
overnight,2.8359427343293494e-05
high_mileage,2.8265076372775442e-05
long_trip,2.77470130495908e-05
low_receipts,8.957547946692225e-06
very_high_mileage,8.393103623620107e-06
under_100_miles,6.190365150273236e-06
near_receipt_cap,5.0340625755525265e-06
local_trip,0.0
anomaly_miles,0.0
anomaly_receipts,0.0
anomaly_duration,0.0
