feature,importance
weighted_estimate_v1,0.6912355586544036
weighted_estimate_v2,0.10936184807419132
miles_x_duration,0.058660163090443355
est_total_simple,0.0495963165087436
receipts_per_day,0.01646505591216719
miles_x_receipts,0.015479420257007031
receipts_x_duration,0.014630452675361628
miles_per_day,0.005225592404360633
miles_to_days_ratio,0.00468888101455853
receipts_to_miles_ratio,0.0046590656328563225
receipts_per_mile,0.003891651164553762
receipts_squared,0.002992073781718521
total_receipts_amount,0.0026185182217640475
medium_trip,0.002426904163011449
miles_sqrt,0.0020691086850232977
receipts_zscore,0.001964319575021269
receipts_log,0.0019305641528301726
receipts_sqrt,0.0017881566203709657
duration_log,0.0012368440103324603
est_mileage_reimb,0.0012002299557663122
miles_log,0.0011864615674221344
miles_squared,0.0010407495984327104
miles_traveled,0.0009892163549181348
duration_zscore,0.0009603475336514787
duration_sqrt,0.0008428824326238945
trip_duration_days,0.0008027716835887151
est_per_diem,0.0005999044159455625
miles_zscore,0.0005815827407536146
duration_squared,0.00037784947652359704
regional_trip,0.00030049240767202046
long_trip,6.12548983995257e-05
very_high_receipts,6.106911643048801e-05
overnight,3.736159073345138e-05
near_receipt_cap,3.5365406765084564e-05
low_receipts,1.966221654089737e-06
high_mileage,0.0
very_high_mileage,0.0
high_receipts,0.0
over_receipt_cap,0.0
under_100_miles,0.0
local_trip,0.0
anomaly_miles,0.0
anomaly_receipts,0.0
anomaly_duration,0.0
