model,train_mae,test_mae,test_exact_pct,test_close_pct,test_r2
Decision Tree,73.1105588245991,92.94227463957301,0.0,0.0,0.9183591504439801
Random Forest,55.732941893491066,70.47199168435569,0.0,0.4,0.946909227833083
Gradient Boosting,16.885729299771914,73.63221945542782,0.0,0.4,0.9435148723833198
XGBoost,12.636225087076824,78.1222347631836,0.0,0.4,0.936538702695912
Neural Network,395.9590145510303,393.5391630238256,0.0,0.0,-0.2928585334449505
